Date,Country,Total cases,Total Deaths,Total Recovered,New Cases,New Deaths,New Recovered
01-03-2024,Australia,16297,7306,777,32,7,10
02-03-2024,Newziland,15278,8002,888,78,8,20
03-03-2024,Afganisthan,14259,8500,999,33,9,30
04-03-2024,China,13240,9130,1000,48,10,40
05-03-2024,Australia,12221,9727,666,49,11,50
06-03-2024,Newziland,11202,1034,555,49,12,60
07-03-2024,Afganisthan,10183,1091,444,50,13,70
08-03-2024,China,9164,1518,333,50,14,80
09-03-2024,Australia,8145,1215,222,51,15,90
10-03-2024,Newziland,7126,2712,111,51,16,100
